project_id,state,district,project_type,land_area_hectares,affected_families,compensation_status,legal_dispute,approval_stage,rehabilitation_progress_pct,stakeholder_responsiveness,historical_dept_performance_score,months_since_initiation,risk_score,risk_category,delay_label
LA-2025-0026,Rajasthan,Gangtok,Highway,57.69,133,Partially Paid,No,Notification Issued,56,Low,0.72,27,8.64,High,Delayed
LA-2024-0027,Punjab,Coimbatore,Railway Corridor,38.32,309,Paid,Yes,Possession Taken,39,Low,0.79,5,9.05,High,Delayed
LA-2021-0028,Punjab,Ambattur,Railway Corridor,65.23,67,Pending,No,Notification Issued,67,Medium,0.93,7,9.86,High,Delayed
LA-2022-0029,Maharashtra,Vijayawada,Industrial Corridor,81.77,141,Partially Paid,No,Survey Completed,46,Low,0.67,22,5.64,Medium,On-Time
LA-2024-0030,Gujarat,Salem,Urban Metro,54.91,38,Paid,Yes,Compensation Disbursed,37,High,0.94,46,8.27,Medium,Delayed
LA-2025-0031,Telangana,Alwar,Industrial Corridor,15.21,66,Paid,Yes,Award Declared,51,Low,0.5,20,7.16,Medium,On-Time
LA-2024-0032,Rajasthan,Bharatpur,Power Transmission Line,29.86,159,Paid,No,Award Declared,52,High,0.64,47,3.58,Low,On-Time
LA-2021-0033,Karnataka,Uluberia,Urban Metro,38.55,229,Paid,Yes,Notification Issued,68,High,0.94,28,10.57,High,Delayed
LA-2024-0034,Gujarat,Bhagalpur,Railway Corridor,23.54,156,Pending,No,Survey Completed,86,Medium,0.38,32,11.42,High,Delayed
LA-2021-0035,Bihar,Madurai,Urban Metro,22.35,186,Paid,No,Award Declared,0,High,0.75,39,5.11,Medium,On-Time
LA-2023-0036,Maharashtra,Deoghar,Urban Metro,82.61,234,Partially Paid,No,Award Declared,53,Medium,0.79,38,7.86,Medium,Delayed
LA-2020-0037,Punjab,Ujjain,Highway,26.67,18,Paid,No,Survey Completed,69,Low,0.54,43,6.11,Medium,Delayed
LA-2024-0038,Maharashtra,Nadiad,Power Transmission Line,22.14,50,Paid,No,Survey Completed,61,Medium,0.33,38,4.04,Low,On-Time
LA-2025-0039,Uttar Pradesh,Proddatur,Railway Corridor,36.59,102,Paid,No,Award Declared,53,Low,0.39,33,7.24,Medium,On-Time
LA-2022-0040,Maharashtra,Anantapur,Railway Corridor,12.91,18,Paid,No,Compensation Disbursed,61,Low,0.54,23,3.77,Low,On-Time
LA-2020-0041,Maharashtra,Berhampur,Port Connectivity,80.66,149,Partially Paid,No,Survey Completed,65,Low,0.65,17,9.37,High,Delayed
LA-2020-0042,Uttar Pradesh,Satna,Power Transmission Line,20.15,66,Paid,No,Notification Issued,0,High,0.38,20,8.29,Medium,On-Time
LA-2023-0043,Bihar,Agartala,Urban Metro,18.99,64,Partially Paid,No,Survey Completed,43,Medium,0.6,25,8.66,High,Delayed
LA-2020-0044,Uttar Pradesh,Rajpur Sonarpur,Railway Corridor,28.01,111,Paid,No,Award Declared,100,Medium,0.44,33,2.27,Low,Delayed
LA-2024-0045,Karnataka,Rajpur Sonarpur,Highway,30.94,39,Paid,No,Possession Taken,77,High,0.44,19,3.01,Low,On-Time
LA-2025-0046,Telangana,Tenali,Irrigation Canal,21.06,152,Pending,No,Award Declared,81,Medium,0.87,22,6.57,Medium,Delayed
LA-2022-0047,Bihar,Asansol,Highway,32.91,294,Paid,No,Compensation Disbursed,37,High,0.74,17,4.11,Low,Delayed
LA-2024-0048,Uttar Pradesh,Kolhapur,Industrial Corridor,44.28,279,Partially Paid,No,Notification Issued,76,Medium,0.83,6,5.96,Medium,Delayed
LA-2023-0049,Telangana,Kishanganj,Industrial Corridor,70.0,69,Partially Paid,No,Possession Taken,70,Medium,0.54,10,7.88,Medium,On-Time
LA-2025-0050,Bihar,Bhimavaram,Port Connectivity,49.19,95,Partially Paid,No,Notification Issued,100,High,0.8,9,5.87,Medium,On-Time
LA-2021-0051,Karnataka,Ballia,Urban Metro,25.76,67,Pending,No,Survey Completed,73,Medium,0.82,11,5.93,Medium,On-Time
LA-2021-0052,Karnataka,Mirzapur,Irrigation Canal,55.18,6,Paid,No,Award Declared,53,Low,0.42,24,4.44,Low,On-Time
LA-2020-0053,Uttar Pradesh,Durgapur,Power Transmission Line,92.8,215,Paid,No,Notification Issued,40,High,0.65,29,6.28,Medium,Delayed
LA-2022-0054,Telangana,Mysore,Irrigation Canal,23.58,9,Pending,No,Survey Completed,65,Medium,0.64,24,10.92,High,Delayed
LA-2022-0055,Madhya Pradesh,Bhubaneswar,Highway,21.51,83,Pending,No,Compensation Disbursed,53,Medium,0.48,11,8.43,Medium,Delayed
LA-2025-0056,Karnataka,Kozhikode,Port Connectivity,58.73,113,Pending,No,Possession Taken,17,Low,0.74,35,8.52,High,Delayed
LA-2024-0057,Rajasthan,Kavali,Power Transmission Line,40.35,183,Partially Paid,No,Compensation Disbursed,51,High,0.54,37,5.52,Medium,Delayed
LA-2024-0058,Rajasthan,Kharagpur,Industrial Corridor,36.31,41,Paid,No,Award Declared,81,Medium,0.45,31,6.33,Medium,Delayed
LA-2021-0059,Punjab,Kavali,Power Transmission Line,21.98,51,Paid,No,Survey Completed,100,High,0.44,2,4.57,Low,Delayed
LA-2020-0060,Bihar,Dehri,Irrigation Canal,83.02,277,Pending,No,Award Declared,44,Low,0.82,5,8.96,High,Delayed
LA-2023-0061,Rajasthan,Begusarai,Railway Corridor,54.31,90,Pending,No,Compensation Disbursed,58,Medium,0.68,9,4.98,Low,On-Time
LA-2020-0062,Maharashtra,Raipur,Highway,25.33,119,Partially Paid,No,Award Declared,77,High,0.79,14,3.7,Low,On-Time
LA-2022-0063,Gujarat,Mau,Industrial Corridor,49.47,200,Pending,No,Possession Taken,80,Medium,0.99,43,8.24,Medium,On-Time
LA-2022-0064,Punjab,Durg,Highway,42.94,116,Pending,Yes,Possession Taken,71,High,0.96,23,8.15,Medium,On-Time
LA-2022-0065,Maharashtra,Sangli-Miraj & Kupwad,Irrigation Canal,10.3,144,Partially Paid,No,Possession Taken,55,Medium,0.85,16,4.91,Low,On-Time
LA-2024-0066,Punjab,Delhi,Industrial Corridor,34.35,207,Pending,No,Possession Taken,47,Medium,0.91,47,4.98,Low,On-Time
LA-2020-0067,Odisha,Orai,Industrial Corridor,16.79,174,Paid,Yes,Survey Completed,59,Medium,0.78,12,8.83,High,Delayed
LA-2021-0068,Gujarat,Guna,Power Transmission Line,46.59,22,Partially Paid,No,Compensation Disbursed,57,Medium,0.89,12,4.37,Low,On-Time
LA-2025-0069,Punjab,Bihar Sharif,Irrigation Canal,22.36,60,Paid,Yes,Compensation Disbursed,95,Medium,0.41,39,6.28,Medium,Delayed
LA-2024-0070,Karnataka,Jamnagar,Highway,3.86,46,Paid,No,Notification Issued,72,High,0.5,13,4.75,Low,Delayed
LA-2022-0071,Gujarat,Nanded,Railway Corridor,46.25,103,Pending,Yes,Compensation Disbursed,82,Medium,0.76,27,9.28,High,Delayed
LA-2024-0072,Uttar Pradesh,Khora ,Urban Metro,63.4,105,Paid,No,Survey Completed,36,High,0.97,23,5.52,Medium,On-Time
LA-2021-0073,Punjab,Unnao,Irrigation Canal,37.84,88,Pending,Yes,Survey Completed,53,Medium,0.38,19,11.84,High,Delayed
LA-2024-0074,Rajasthan,Gorakhpur,Urban Metro,66.36,82,Pending,No,Survey Completed,72,High,0.63,4,6.24,Medium,Delayed
LA-2021-0075,Maharashtra,Aizawl,Urban Metro,21.66,132,Paid,No,Award Declared,78,Medium,0.49,47,7.14,Medium,Delayed
LA-2024-0076,Karnataka,Howrah,Port Connectivity,70.43,108,Pending,Yes,Notification Issued,13,Medium,0.81,36,12.9,High,Delayed
LA-2022-0077,Uttar Pradesh,Tezpur,Highway,44.9,301,Paid,Yes,Notification Issued,56,Medium,0.31,38,9.97,High,Delayed
LA-2023-0078,Gujarat,Guwahati,Industrial Corridor,83.74,267,Paid,Yes,Possession Taken,82,Medium,0.99,8,3.88,Low,On-Time
LA-2025-0079,Maharashtra,Coimbatore,Urban Metro,67.39,169,Partially Paid,No,Notification Issued,64,Low,0.64,11,7.52,Medium,Delayed
LA-2021-0080,Uttar Pradesh,Warangal,Railway Corridor,60.73,107,Paid,No,Compensation Disbursed,75,High,0.33,32,2.38,Low,On-Time
LA-2024-0081,Rajasthan,Jamalpur,Irrigation Canal,33.83,57,Partially Paid,No,Survey Completed,62,High,0.62,31,7.79,Medium,Delayed
LA-2021-0082,Maharashtra,Bilaspur,Urban Metro,87.71,208,Paid,No,Possession Taken,55,Low,0.41,2,7.21,Medium,On-Time
LA-2024-0083,Telangana,Rajpur Sonarpur,Highway,17.21,98,Partially Paid,Yes,Compensation Disbursed,88,Medium,0.81,37,7.4,Medium,Delayed
LA-2021-0084,Uttar Pradesh,Bijapur,Irrigation Canal,8.77,348,Pending,No,Award Declared,76,High,0.45,30,6.02,Medium,On-Time
LA-2020-0085,Rajasthan,Dindigul,Railway Corridor,44.67,121,Pending,Yes,Compensation Disbursed,18,High,0.61,25,10.14,High,Delayed
LA-2020-0086,Madhya Pradesh,Hazaribagh,Railway Corridor,38.79,54,Pending,Yes,Award Declared,19,Low,0.46,42,15.88,High,Delayed
LA-2025-0087,Punjab,Jamshedpur,Power Transmission Line,59.83,66,Partially Paid,No,Survey Completed,81,Medium,0.89,39,8.28,Medium,On-Time
LA-2025-0088,Madhya Pradesh,Kamarhati,Railway Corridor,12.12,157,Paid,No,Possession Taken,47,Medium,0.31,16,2.38,Low,On-Time
LA-2022-0089,Maharashtra,Sonipat,Port Connectivity,16.81,134,Partially Paid,Yes,Possession Taken,44,High,0.42,33,11.82,High,Delayed
LA-2021-0090,Punjab,Giridih,Urban Metro,119.69,95,Paid,No,Possession Taken,33,Medium,0.58,31,6.38,Medium,Delayed
LA-2023-0091,Maharashtra,Giridih,Railway Corridor,8.31,190,Pending,Yes,Survey Completed,67,High,0.95,22,9.25,High,Delayed
LA-2021-0092,Maharashtra,Chennai,Power Transmission Line,26.36,248,Partially Paid,Yes,Survey Completed,28,Medium,0.57,22,9.75,High,Delayed
LA-2020-0093,Uttar Pradesh,Allahabad,Irrigation Canal,83.91,200,Paid,No,Award Declared,48,Medium,0.57,20,5.64,Medium,On-Time
LA-2023-0094,Madhya Pradesh,Jabalpur,Port Connectivity,60.71,8,Partially Paid,No,Award Declared,63,Medium,0.44,24,7.1,Medium,Delayed
LA-2025-0095,Madhya Pradesh,Bathinda,Power Transmission Line,15.19,36,Paid,No,Possession Taken,44,Low,0.43,33,4.41,Low,On-Time
LA-2024-0096,Odisha,Kottayam,Port Connectivity,36.17,43,Partially Paid,No,Award Declared,63,High,0.72,39,4.93,Low,On-Time
LA-2020-0097,Punjab,Alwar,Highway,14.27,141,Pending,No,Survey Completed,86,High,0.77,39,6.43,Medium,On-Time
LA-2021-0098,Uttar Pradesh,Kakinada,Port Connectivity,12.7,125,Paid,Yes,Notification Issued,90,Medium,0.46,19,11.22,High,Delayed
LA-2024-0099,Karnataka,Aurangabad,Urban Metro,23.81,55,Partially Paid,No,Possession Taken,69,Medium,0.93,37,6.85,Medium,Delayed
LA-2024-0100,Uttar Pradesh,Latur,Industrial Corridor,21.27,40,Paid,No,Notification Issued,44,Medium,0.92,31,7.11,Medium,Delayed
LA-2024-0101,Punjab,Vellore,Irrigation Canal,11.09,183,Pending,No,Possession Taken,15,Low,0.59,21,6.88,Medium,Delayed
LA-2022-0102,Telangana,Bareilly,Urban Metro,22.68,105,Partially Paid,No,Notification Issued,79,High,0.39,39,8.54,High,Delayed
LA-2025-0103,Madhya Pradesh,Chinsurah,Highway,58.53,34,Paid,No,Compensation Disbursed,21,Medium,0.96,42,5.08,Medium,On-Time
LA-2023-0104,Gujarat,Bhusawal,Industrial Corridor,22.14,69,Pending,No,Possession Taken,89,Medium,0.36,20,7.93,Medium,Delayed
LA-2023-0105,Maharashtra,Bhind,Railway Corridor,16.42,98,Pending,Yes,Award Declared,80,Medium,0.4,18,11.55,High,Delayed
LA-2023-0106,Madhya Pradesh,Navi Mumbai,Railway Corridor,33.71,103,Paid,No,Survey Completed,54,Low,0.64,36,5.57,Medium,Delayed
LA-2020-0107,Rajasthan,Sambhal,Power Transmission Line,56.13,59,Paid,No,Compensation Disbursed,52,High,0.73,16,3.22,Low,On-Time
LA-2024-0108,Madhya Pradesh,Moradabad,Port Connectivity,113.75,65,Pending,No,Possession Taken,30,Low,0.59,24,8.53,High,Delayed
LA-2024-0109,Uttar Pradesh,Nellore,Power Transmission Line,41.94,41,Partially Paid,No,Notification Issued,59,Medium,0.41,16,7.91,Medium,Delayed
LA-2023-0110,Bihar,Jorhat,Railway Corridor,86.84,56,Partially Paid,Yes,Compensation Disbursed,85,Low,0.93,23,9.79,High,Delayed
LA-2022-0111,Bihar,Kolhapur,Highway,67.37,102,Partially Paid,No,Possession Taken,41,Low,0.36,34,7.43,Medium,Delayed
LA-2022-0112,Madhya Pradesh,South Dumdum,Port Connectivity,70.44,59,Partially Paid,No,Notification Issued,89,Medium,0.36,25,8.08,Medium,Delayed
LA-2020-0113,Maharashtra,Surendranagar Dudhrej,Port Connectivity,38.23,123,Partially Paid,No,Notification Issued,36,High,0.86,15,6.9,Medium,On-Time
LA-2023-0114,Maharashtra,Aurangabad,Irrigation Canal,38.8,118,Paid,No,Award Declared,37,Low,0.49,44,7.56,Medium,Delayed
LA-2024-0115,Rajasthan,Jamalpur,Railway Corridor,101.7,87,Partially Paid,No,Possession Taken,67,High,0.76,10,4.45,Low,On-Time
LA-2024-0116,Maharashtra,Dhanbad,Railway Corridor,33.17,177,Partially Paid,No,Possession Taken,74,Medium,0.71,25,6.48,Medium,On-Time
LA-2023-0117,Karnataka,Tiruchirappalli,Power Transmission Line,7.06,81,Partially Paid,No,Notification Issued,59,Medium,0.86,11,9.16,High,Delayed
LA-2022-0118,Maharashtra,Rourkela,Highway,42.02,288,Pending,No,Notification Issued,100,High,0.83,33,8.74,High,Delayed
LA-2025-0119,Telangana,Shivpuri,Irrigation Canal,44.16,49,Pending,No,Award Declared,7,Medium,0.79,2,6.09,Medium,On-Time
LA-2023-0120,Uttar Pradesh,Kakinada,Port Connectivity,69.11,312,Paid,No,Notification Issued,62,Medium,0.72,29,5.81,Medium,On-Time
LA-2023-0121,Punjab,Allahabad,Urban Metro,41.79,106,Paid,No,Survey Completed,92,Medium,0.34,38,7.4,Medium,Delayed
LA-2020-0122,Uttar Pradesh,Nadiad,Urban Metro,56.13,75,Pending,No,Award Declared,66,Medium,0.43,18,8.27,Medium,Delayed
LA-2024-0123,Rajasthan,Pali,Railway Corridor,7.0,61,Partially Paid,No,Compensation Disbursed,27,High,0.74,4,3.95,Low,On-Time
LA-2020-0124,Madhya Pradesh,Malda,Power Transmission Line,15.05,92,Paid,No,Survey Completed,54,Medium,0.83,22,4.89,Low,Delayed
LA-2021-0125,Karnataka,Bhusawal,Power Transmission Line,32.19,16,Paid,No,Compensation Disbursed,34,Medium,0.96,4,0.9,Low,On-Time
LA-2021-0126,Gujarat,Bhatpara,Railway Corridor,22.16,48,Paid,No,Compensation Disbursed,75,Low,0.32,35,4.51,Low,On-Time
LA-2020-0127,Uttar Pradesh,Sagar,Power Transmission Line,29.01,200,Partially Paid,No,Survey Completed,2,High,0.6,8,6.41,Medium,Delayed
LA-2022-0128,Odisha,Howrah,Urban Metro,49.07,78,Pending,No,Award Declared,65,Medium,0.91,27,8.24,Medium,Delayed
LA-2024-0129,Bihar,Satara,Industrial Corridor,53.83,79,Pending,Yes,Notification Issued,20,Medium,0.94,26,11.46,High,Delayed
LA-2023-0130,Odisha,Dhanbad,Highway,32.38,90,Paid,Yes,Award Declared,38,High,0.49,16,6.14,Medium,On-Time
LA-2021-0131,Punjab,Ambala,Industrial Corridor,45.82,57,Pending,Yes,Compensation Disbursed,85,Low,0.44,10,10.66,High,Delayed
LA-2022-0132,Gujarat,Howrah,Industrial Corridor,52.36,128,Pending,No,Notification Issued,46,High,0.53,47,10.43,High,Delayed
LA-2022-0133,Uttar Pradesh,Gaya,Industrial Corridor,18.26,49,Pending,No,Possession Taken,74,Medium,0.63,39,4.7,Low,On-Time
LA-2022-0134,Punjab,Hindupur,Power Transmission Line,20.84,120,Pending,No,Survey Completed,48,Medium,0.6,28,10.61,High,Delayed
LA-2025-0135,Rajasthan,Noida,Highway,48.16,33,Paid,Yes,Compensation Disbursed,89,Low,0.89,14,7.89,Medium,Delayed
LA-2025-0136,Gujarat,Jamshedpur,Irrigation Canal,60.37,260,Paid,No,Notification Issued,47,High,0.76,42,4.58,Low,On-Time
LA-2024-0137,Telangana,Adoni,Urban Metro,10.07,64,Pending,Yes,Compensation Disbursed,57,Medium,0.94,36,10.72,High,Delayed
LA-2023-0138,Rajasthan,Udupi,Port Connectivity,22.2,73,Paid,Yes,Award Declared,52,Medium,0.88,5,7.87,Medium,On-Time
LA-2022-0139,Madhya Pradesh,Gurgaon,Industrial Corridor,16.6,193,Paid,Yes,Survey Completed,100,High,0.32,28,7.26,Medium,On-Time
LA-2022-0140,Uttar Pradesh,Bhilwara,Power Transmission Line,33.3,121,Pending,No,Award Declared,76,Medium,0.52,21,8.52,High,Delayed
LA-2021-0141,Madhya Pradesh,Satara,Power Transmission Line,73.24,94,Partially Paid,No,Notification Issued,75,Low,0.85,46,7.59,Medium,Delayed
LA-2020-0142,Uttar Pradesh,Bilaspur,Port Connectivity,15.97,108,Paid,No,Award Declared,48,Medium,0.74,23,3.35,Low,On-Time
LA-2024-0143,Bihar,Mira-Bhayandar,Highway,2.14,77,Partially Paid,No,Survey Completed,41,High,0.58,6,5.32,Medium,Delayed
LA-2020-0144,Odisha,Berhampore,Power Transmission Line,38.8,95,Paid,No,Possession Taken,45,High,0.77,13,1.62,Low,On-Time
LA-2023-0145,Punjab,Srinagar,Power Transmission Line,60.93,67,Paid,No,Possession Taken,63,Low,0.57,22,4.26,Low,On-Time
LA-2023-0146,Uttar Pradesh,Berhampore,Highway,26.18,216,Partially Paid,No,Compensation Disbursed,39,Medium,0.65,8,6.46,Medium,On-Time
LA-2024-0147,Bihar,Srinagar,Irrigation Canal,14.08,17,Partially Paid,Yes,Notification Issued,43,Medium,0.54,35,12.99,High,Delayed
LA-2025-0148,Maharashtra,Guna,Industrial Corridor,42.87,43,Partially Paid,No,Compensation Disbursed,32,High,0.94,21,5.18,Medium,Delayed
LA-2020-0149,Bihar,Mira-Bhayandar,Industrial Corridor,7.16,251,Partially Paid,Yes,Possession Taken,100,High,0.54,25,9.42,High,Delayed
LA-2022-0150,Uttar Pradesh,Coimbatore,Highway,22.69,19,Pending,No,Possession Taken,91,Low,0.64,3,7.49,Medium,Delayed
